Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-01-11,Jagga Jasoos,2017,https://boxd.it/WcBUB,3,,,2017-08-28
2020-01-11,Lipstick Under My Burkha,2017,https://boxd.it/WcC0f,3.5,,,2017-08-31
2020-01-11,Anand,1971,https://boxd.it/WcCdt,4.5,,,2017-10-18
2020-01-11,Jaane Bhi Do Yaaro,1983,https://boxd.it/WcCst,4,,,2017-10-19
2020-01-11,Roja,1992,https://boxd.it/WcBhT,4,,,2017-10-20
2020-01-11,Se7en,1995,https://boxd.it/WcBkj,4.5,,,2017-10-20
2020-01-11,INT. CAFÉ – NIGHT,2014,https://boxd.it/WcBRR,4,,,2017-10-21
2020-01-11,The Bypass,2003,https://boxd.it/WcBSP,3.5,,,2017-10-21
2020-01-11,Ahalya,2015,https://boxd.it/WcC13,4,,,2017-10-21
2020-01-11,Taandav,2016,https://boxd.it/WcC7F,4,,,2017-10-21
2020-01-11,Kriti,2016,https://boxd.it/WcC97,3.5,,,2017-10-21
2020-01-11,Ouch,2000,https://boxd.it/WcCaT,4,,,2017-10-21
2020-01-11,Chutney,2016,https://boxd.it/WcCbn,4.5,,,2017-10-21
2020-01-11,It's Fine,2012,https://boxd.it/WcCcP,3,,,2017-10-21
2020-06-17,Ouch,2016,https://boxd.it/1cEQg7,4,,,2017-10-21
2021-12-20,Kheer,2017,https://boxd.it/2n8VDX,3,,,2017-10-21
2020-01-11,Carbon: A Story of Tomorrow,2017,https://boxd.it/WcChb,3,,,2017-11-18
2020-01-11,The Shawshank Redemption,1994,https://boxd.it/WcBjv,4.5,,,2017-12-04
2022-12-24,Kali-Katha: The Prologue to Ugly,2014,https://boxd.it/3zBcHp,4,,,2017-12-04
2020-01-11,Doodlebug,1997,https://boxd.it/WcBUh,4,,,2017-12-05
2020-01-11,Tubelight's Moon,2010,https://boxd.it/WcBxx,3.5,,,2017-12-19
2020-06-17,Geek Out,2013,https://boxd.it/1cEQ4P,3,,,2017-12-19
2020-01-11,Last Train To Mahakali,2000,https://boxd.it/WcByv,4.5,,,2018-01-12
2020-01-11,Nayantara's Necklace,2015,https://boxd.it/WcBWn,3.5,,,2018-01-12
2020-01-11,Mukkabaaz,2017,https://boxd.it/WcChl,4,,,2018-01-15
2020-01-11,Juice,2017,https://boxd.it/WcCl3,4.5,,,2018-01-16
2020-01-11,Dunkirk,2017,https://boxd.it/WcC2P,4.5,,,2018-02-19
2020-01-11,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/WcC2Z,4,,,2018-02-19
2020-01-11,Chupke Chupke,1975,https://boxd.it/WcChZ,4,,,2018-03-02
2020-01-11,Reservoir Dogs,1992,https://boxd.it/WcBhz,4.5,,,2018-03-03
2020-01-11,Maqbool,2003,https://boxd.it/WcBR3,4.5,,,2018-03-03
2020-01-11,The Pursuit of Happyness,2006,https://boxd.it/WcBXl,4,,,2018-03-03
2020-01-11,Psycho,1960,https://boxd.it/WcC7b,4.5,,,2018-03-03
2020-01-11,Reservoir Dogs,1991,https://boxd.it/WcCcv,3,,,2018-03-03
2020-01-11,Poor Pierrot,1892,https://boxd.it/WcBIl,4,,,2018-04-10
2020-01-11,Passage of Venus,1874,https://boxd.it/WcBJ9,3,,,2018-04-10
2020-01-11,Traffic Crossing Leeds Bridge,1888,https://boxd.it/WcBLJ,4,,,2018-04-10
2020-01-11,Roundhay Garden Scene,1888,https://boxd.it/WcBSv,3.5,,,2018-04-10
2020-01-11,Flight of the Large Blue Fly,1905,https://boxd.it/WcC5T,3.5,,,2018-04-10
2020-01-11,Rear Window,1954,https://boxd.it/WcBZr,4.5,,,2018-04-16
2020-01-11,Deewaar,1975,https://boxd.it/WcCiD,4,,,2018-04-16
2020-01-11,Avengers: Infinity War,2018,https://boxd.it/WcBV5,4.5,,,2018-05-04
2020-01-11,Babumoshai Bandookbaaz,2017,https://boxd.it/WcCdN,4,,,2018-05-16
2020-01-11,Mama's Boy,2007,https://boxd.it/WcCrF,3.5,,,2018-05-18
2022-12-24,Mama's Boy,2016,https://boxd.it/3zBd3l,3.5,,,2018-05-18
2020-01-11,Gol Maal,1979,https://boxd.it/WcCmP,4,,,2018-05-25
2020-01-11,Doctor Strange,2016,https://boxd.it/WcBol,3.5,,,2018-05-28
2020-01-11,The Kid,1921,https://boxd.it/WcBoF,4.5,,,2018-05-28
2020-01-11,Dial M for Murder,1954,https://boxd.it/WcBYN,4,,,2018-05-28
2020-01-11,Witness for the Prosecution,1957,https://boxd.it/WcC4L,4.5,,,2018-05-28
2020-01-11,Angoor,1982,https://boxd.it/WcBAh,4.5,,,2018-05-30
2020-01-11,The Great Dictator,1940,https://boxd.it/WcBK7,4.5,,,2018-05-30
2020-01-11,Your Name.,2016,https://boxd.it/WcC6n,4.5,,,2018-05-30
2020-01-11,The Gold Rush,1925,https://boxd.it/WcBtl,4.5,,,2018-05-31
2020-01-11,Bicycle Thieves,1948,https://boxd.it/WcBTD,4.5,,,2018-06-01
2020-01-11,Paths of Glory,1957,https://boxd.it/WcC3t,4.5,,,2018-06-01
2020-01-11,Snatch,2000,https://boxd.it/WcByZ,4,,,2018-06-02
2020-01-11,City Lights,1931,https://boxd.it/WcBAr,4.5,,,2018-06-03
2020-01-11,1: Nenokkadine,2014,https://boxd.it/WcBCd,4.5,,,2018-06-03
2020-01-11,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/WcC89,4.5,,,2018-06-04
2020-01-11,The Legend of Bhagat Singh,2002,https://boxd.it/WcBJN,4,,,2018-06-05
2020-01-11,Full Metal Jacket,1987,https://boxd.it/WcCwF,4.5,,,2018-06-05
2020-01-11,Gangs of Wasseypur – Part 1,2012,https://boxd.it/WcByb,4.5,,,2018-06-06
2020-01-11,Vertigo,1958,https://boxd.it/WcC5z,4.5,,,2018-06-06
2020-01-11,Hans Zimmer: Live in Prague,2017,https://boxd.it/WcC8N,5,,,2018-06-06
2020-01-11,Chinatown,1974,https://boxd.it/WcCgH,4.5,,,2018-06-06
2020-01-11,Khosla Ka Ghosla!,2006,https://boxd.it/WcBXZ,4.5,,,2018-06-07
2020-01-11,Spider-Man: Homecoming,2017,https://boxd.it/WcBB5,3.5,,,2018-06-08
2020-01-11,Batman Begins,2005,https://boxd.it/WcBPL,4,,,2018-06-08
2020-01-11,The Lives of Others,2006,https://boxd.it/WcBTj,4.5,,,2018-06-08
2020-01-11,Léon: The Professional,1994,https://boxd.it/WcBjb,4.5,,,2018-06-09
2020-01-11,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/WcCjh,4.5,,,2018-06-09
2020-01-11,Nayakan,1987,https://boxd.it/WcCwP,4.5,,,2018-06-12
2020-01-11,The Night Of,2016,https://boxd.it/WcBDb,4.5,,,2018-06-13
2020-01-11,Wild Tales,2014,https://boxd.it/WcBIv,4,,,2018-06-13
2020-01-11,Sherlock Jr.,1924,https://boxd.it/WcBsx,4,,,2018-06-14
2020-01-11,Vikram Vedha,2017,https://boxd.it/WcCap,4.5,,,2018-06-14
2020-01-11,Whiplash,2014,https://boxd.it/WcBFr,4.5,,,2018-06-15
2020-01-11,Lust Stories,2018,https://boxd.it/WcCrP,3.5,,,2018-06-15
2020-01-11,Gulaal,2009,https://boxd.it/WcBp9,4,,,2018-06-16
2020-01-11,The Grand Budapest Hotel,2014,https://boxd.it/WcBBp,4,,,2018-06-16
2020-01-11,Dil Chahta Hai,2001,https://boxd.it/WcBHH,4,,,2018-06-16
2020-01-11,Guide,1965,https://boxd.it/WcC9r,4.5,,,2018-06-16
2020-01-11,Udaan,2010,https://boxd.it/WcBtZ,4,,,2018-06-17
2020-01-11,Sunrise: A Song of Two Humans,1927,https://boxd.it/WcBx3,4.5,,,2018-06-18
2020-01-11,Omkara,2006,https://boxd.it/WcC1d,4,,,2018-06-18
2020-01-11,The Apartment,1960,https://boxd.it/WcC71,4.5,,,2018-06-19
2020-01-11,Immortal Beloved,1994,https://boxd.it/WcBiR,3.5,,,2018-06-20
2020-01-11,Sanju,2018,https://boxd.it/WcCc1,4.5,,,2018-06-30
2020-01-11,Theeran Adhigaaram Ondru,2017,https://boxd.it/WcCgn,4.5,,,2018-07-01
2020-01-11,Dhuruvangal Pathinaaru,2016,https://boxd.it/WcCbR,4.5,,,2018-07-06
2020-01-11,Chhuri,2017,https://boxd.it/WcCqn,3.5,,,2018-07-10
2020-01-11,City of God,2002,https://boxd.it/WcBJt,4.5,,,2018-07-11
2020-01-11,Prisoners,2013,https://boxd.it/WcBr5,4,,,2018-07-13
2020-01-11,Modern Times,1936,https://boxd.it/WcBGz,4.5,,,2018-07-17
2020-01-11,Raazi,2018,https://boxd.it/WcCgx,4,,,2018-07-17
2020-01-11,Soodhu Kavvum,2013,https://boxd.it/WcBHd,4,,,2018-07-18
2020-01-11,Kill Bill: Vol. 1,2003,https://boxd.it/WcBG5,4.5,,,2018-07-20
2020-01-11,Thani Oruvan,2015,https://boxd.it/WcC2b,4.5,,,2018-07-20
2020-01-11,Masoom,1983,https://boxd.it/WcCsN,4.5,,,2018-07-21
2020-01-11,Fight Club,1999,https://boxd.it/WcBqB,4.5,,,2018-07-22
2020-01-11,Following,1998,https://boxd.it/WcBsH,4.5,,,2018-07-22
2020-01-11,Memento,2000,https://boxd.it/WcBzt,4.5,,,2018-07-22
2020-01-11,GoodFellas,1990,https://boxd.it/WcCD7,4.5,,,2018-07-22
2020-01-11,Forrest Gump,1994,https://boxd.it/WcBiH,4.5,,,2018-07-23
2020-01-11,Pulp Fiction,1994,https://boxd.it/WcBjl,4.5,,,2018-07-23
2020-01-11,The Green Mile,1999,https://boxd.it/WcBnx,4.5,,,2018-07-23
2020-01-11,Casablanca,1942,https://boxd.it/WcBM3,4.5,,,2018-07-23
2020-01-11,It's a Wonderful Life,1946,https://boxd.it/WcBSb,4.5,,,2018-07-24
2020-01-11,Bāhubali: The Beginning,2015,https://boxd.it/WcBFL,4,,,2018-07-25
2020-01-11,Bāhubali 2: The Conclusion,2017,https://boxd.it/WcC0T,4,,,2018-07-25
2020-01-11,Interstellar,2014,https://boxd.it/WcCpT,4.5,,,2018-07-25
2020-01-11,The Shining,1980,https://boxd.it/WcCpJ,4.5,,,2018-07-26
2020-01-11,Parmanu: The Story of Pokhran,2018,https://boxd.it/WcCer,4.5,,,2018-07-27
2020-01-11,Arjun Reddy,2017,https://boxd.it/WcCj7,4.5,,,2018-07-28
2020-01-11,Sairat,2016,https://boxd.it/WcC6x,4.5,,,2018-07-29
2020-01-11,One Heart: The A.R. Rahman Concert Film,2017,https://boxd.it/WcCcl,5,,,2018-07-31
2020-01-11,Citizen Kane,1941,https://boxd.it/WcBL5,4.5,,,2018-08-01
